2023-11-21 09:40:58,633 - INFO - Config:
data:
  train:
    info_path: "./dataset/train"
    batch_size: 250
    num_workers: 0
    shuffle: True
  val:
    info_path: "./dataset/val"
    batch_size: 5
    num_workers: 0
    shuffle: True

optimizer:
  type: 'Adam'
  lr: 0.004  

checkpoint: 

epoch: 128
val_epoch: 50
step_epoch: 20
work_dir: "./work_dir"

2023-11-21 09:41:23,846 - INFO - Epoch [3/128][14/20], lr:0.004, eta: 0:17:28, data_time: 0.21, iter_time: 0.22, loss: 0.0155
2023-11-21 09:41:24,136 - INFO - Epoch [3/128][15/20], lr:0.004, eta: 0:17:25, data_time: 0.20, iter_time: 0.21, loss: 0.0312
2023-11-21 09:41:24,436 - INFO - Epoch [3/128][16/20], lr:0.004, eta: 0:17:26, data_time: 0.21, iter_time: 0.22, loss: 0.0592
2023-11-21 09:41:24,731 - INFO - Epoch [3/128][17/20], lr:0.004, eta: 0:17:26, data_time: 0.21, iter_time: 0.21, loss: 0.0204
2023-11-21 09:41:25,030 - INFO - Epoch [3/128][18/20], lr:0.004, eta: 0:17:26, data_time: 0.21, iter_time: 0.21, loss: 0.0518
2023-11-21 09:41:25,332 - INFO - Epoch [3/128][19/20], lr:0.004, eta: 0:17:28, data_time: 0.21, iter_time: 0.22, loss: 0.0218
2023-11-21 09:41:25,634 - INFO - Epoch [3/128][20/20], lr:0.004, eta: 0:17:30, data_time: 0.21, iter_time: 0.22, loss: 0.1118
2023-11-21 09:41:25,981 - INFO - Epoch [4/128][1/20], lr:0.004, eta: 0:17:37, data_time: 0.21, iter_time: 0.21, loss: 0.0928
2023-11-21 09:41:26,281 - INFO - Epoch [4/128][2/20], lr:0.004, eta: 0:17:46, data_time: 0.21, iter_time: 0.22, loss: 0.2789
2023-11-21 09:41:26,578 - INFO - Epoch [4/128][3/20], lr:0.004, eta: 0:17:41, data_time: 0.21, iter_time: 0.21, loss: 0.0727
2023-11-21 09:41:26,880 - INFO - Epoch [4/128][4/20], lr:0.004, eta: 0:17:46, data_time: 0.21, iter_time: 0.22, loss: 0.0597
